value_1,value_2,value_3,value_4,value_5,value_6,x,y
-32.21791336,-82.18804918,-86.75861858,-72.17153643,-86.17209162,-86.88629217,0.921251711,0.679355812
-30.80190097,-74.61399861,-86.63193433,-79.16313906,-86.6606146,-83.02690619,0.984809234,0.467473168
-32.30784802,-82.06535673,-84.68955106,-74.00900005,-87.60321953,-86.89001101,0.998333103,0.653526532
-36.40304989,-82.18366662,-86.66192499,-75.82628781,-84.33989881,-86.85684388,0.925572788,0.628847696
-30.97421812,-75.50210514,-86.75740995,-64.74831424,-87.6993786,-86.8802108,0.931332141,0.81355781
-33.6301091,-82.16890245,-86.73964024,-66.36478299,-87.59998055,-86.84416428,0.965699192,0.899227089
-36.77718035,-82.14700443,-86.46489319,-68.87906822,-82.23897478,-86.85695202,0.750383593,0.710165983
-36.21654904,-81.38387471,-80.52491314,-71.20228083,-75.74577351,-84.43005001,0.294566757,0.220019546
-33.47448009,-82.18016471,-86.73296807,-75.90572649,-86.11891096,-86.82113094,0.982502951,0.645337561
-30.1326186,-82.18668092,-85.75999076,-79.19342483,-66.34771608,-86.80452722,0.988773356,0.732069816
-32.92122105,-82.0056041,-82.45684836,-73.04707816,-87.37453569,-86.46464851,0.970066991,0.611966297
-37.04728769,-81.69317463,-85.92536472,-75.82671831,-72.95985791,-84.58112025,0.547852837,0.402329388
-38.32275072,-82.12596046,-86.33280506,-65.51051918,-84.54096468,-86.17065136,0.857394255,0.938859809
-37.08065692,-82.1443743,-85.42805297,-74.76465765,-79.95693846,-84.08662292,0.589515066,0.388365756
-38.48037977,-80.25481017,-82.96525595,-78.90961221,-81.87569574,-85.75244061,0.872272566,0.450512265
-33.34550765,-82.17190641,-82.45000913,-80.98732239,-80.68054489,-85.86149109,0.921312742,0.443970754
-30.10263567,-71.3962147,-85.76736867,-79.05165819,-86.0071935,-83.87608243,0.958519115,0.411236095
-41.56425406,-78.67347914,-85.61337695,-66.02457559,-86.13094717,-86.04439048,0.895940263,0.966750053
-47.12279901,-71.79985932,-78.06855986,-77.33184969,-71.33148465,-80.03725178,0.772639181,0.716099129
-50.38557965,-77.1377143,-78.65923252,-75.61353741,-76.81751577,-85.56459438,0.910771557,0.843034412
-39.27796436,-80.31619703,-86.55987356,-67.51796691,-87.39727182,-82.76421032,0.925553854,0.87322224
-30.49396222,-82.13018049,-84.40164378,-74.00818689,-62.33515339,-83.57149694,0.992549695,0.866332341
-42.10460633,-68.94204073,-82.69488144,-71.24029828,-80.41928286,-86.26400354,0.776152202,0.516464711
-35.74123856,-82.14897111,-86.61553178,-73.64299167,-82.36620253,-86.80726732,0.77924572,0.570727713
-29.18072071,-77.05078124,-86.73224869,-70.68609682,-87.69857985,-86.88959312,0.930788513,0.649270617
-36.21048896,-78.38485379,-86.30139439,-74.23925723,-87.27166632,-78.57547715,0.931829664,0.555362509
-39.78079917,-78.72252361,-86.79936926,-70.91423789,-87.67982371,-86.39321529,0.977547817,0.805523326
-40.5714242,-81.80719504,-82.43425947,-68.15081686,-68.49924168,-83.67991326,0.657422726,0.860137225
-36.50645217,-77.04400497,-79.78883018,-79.56595376,-85.26623459,-80.93591661,0.977819036,0.361664489
-38.82298936,-81.60346811,-86.61312816,-74.96078522,-82.30340528,-86.18625801,0.82126621,0.599583406
-32.64732527,-69.94948999,-86.70730392,-82.33027213,-83.04226627,-82.0603162,0.98819441,0.377840936
-36.74740906,-82.1443876,-86.61501526,-66.10787724,-82.78131632,-86.69632168,0.79091298,0.843384036
-52.01452372,-71.06036823,-80.09715286,-73.81360144,-81.03324086,-76.17342115,0.960104527,0.819395344
-29.54340122,-80.25192738,-86.79959087,-68.76418166,-87.68292384,-86.87891681,0.952159579,0.753704134
-40.61970729,-81.23437714,-86.23613193,-77.51515619,-77.02714102,-84.76484441,0.739887752,0.524635392
-36.57282026,-80.79778353,-86.77990849,-73.96961075,-87.52889749,-80.97008263,0.96438071,0.640380994
-50.18101498,-70.83024546,-80.80335256,-69.3791613,-82.94107413,-77.15844038,0.936039938,0.874082469
-63.37332184,-74.50584426,-73.44579257,-73.51871268,-78.7495933,-78.10997173,0.813236899,0.993474073
-43.78941035,-80.08699481,-84.16939472,-78.0476148,-83.09479253,-80.11396908,0.984349833,0.605622476
-37.2838706,-82.17005645,-85.65225077,-72.77938517,-87.57038151,-85.8446601,0.996570722,0.737409199
-35.0663582,-81.33666985,-78.18631834,-69.31512093,-67.13056045,-80.81163887,0.68003304,0.611447346
-32.97430847,-81.36833184,-77.04429687,-76.46107976,-65.700487,-80.79106154,0.891713672,0.575607034
-37.32646752,-82.18889289,-86.4597774,-67.65010387,-85.383788,-86.69931104,0.881759821,0.853235679
-37.95335403,-80.16906214,-86.75670592,-74.60590848,-87.5796984,-83.23651009,0.991156664,0.664618087
-35.48966066,-80.14416312,-80.78787565,-79.98114184,-77.46648395,-81.34975419,0.510565098,0.177991335
-35.38458285,-82.14739452,-85.94877527,-81.11029842,-76.7025167,-85.85174953,0.873655383,0.501433792
-31.11260167,-82.15071025,-86.77123672,-73.32923768,-87.61857446,-86.89936034,0.998506596,0.704782227
-30.90444962,-74.04915974,-85.14738553,-67.41185862,-87.67202045,-86.79245978,0.908368131,0.667472491
-30.03161494,-82.18160832,-86.6806698,-67.52740527,-86.81466845,-86.79811227,0.945076315,0.806685966
-31.36859235,-82.04566477,-86.78343379,-72.90269794,-87.69133613,-86.89671371,0.993511838,0.710923516
-46.90580024,-77.75235122,-85.7857231,-79.28814319,-72.82124148,-83.89106042,0.954503239,0.792730598
-29.12603539,-78.65121172,-86.79966077,-74.45180482,-87.7,-86.89996701,0.982300636,0.623267307
-29.64882824,-75.31140176,-86.74621183,-66.01317227,-87.69710884,-86.87901395,0.92850484,0.758087924
-34.52369549,-81.92580488,-85.06266741,-79.64702641,-68.92504851,-86.79109798,0.898158194,0.626338117
-37.86864345,-82.06755688,-85.36473898,-76.44454495,-83.10321582,-86.36787257,0.882019117,0.5707875
-34.89811167,-82.19427135,-86.77846802,-69.42409154,-83.72991117,-86.84718114,0.803122827,0.699674387
-34.38089917,-80.29881455,-86.79991817,-67.78730535,-87.69108042,-86.89181819,0.939570059,0.819772498
-38.55801791,-81.67280445,-86.38675348,-69.82373206,-80.79176743,-86.21254648,0.682440443,0.65958314
-29.90964441,-67.58646763,-86.6824512,-73.16396795,-86.40253518,-86.56568214,0.910003546,0.478243621
-32.38546499,-70.71054516,-86.69370558,-74.99344541,-87.55922104,-86.88211695,0.97584346,0.522194578
-33.87432531,-82.17770894,-86.75661045,-70.12588757,-84.46029114,-86.87462796,0.83230369,0.684392796
-45.31634898,-80.84890403,-74.28105115,-75.3651918,-74.57922086,-81.55085554,0.842503959,0.662224922
-49.40609395,-75.14025441,-81.61746272,-73.214751,-76.15892137,-84.74957133,0.681873826,0.813647579
-32.78354652,-82.15934829,-86.75702128,-74.58308079,-85.61852088,-86.87714628,0.931570365,0.63313013
-45.96168381,-73.32404569,-83.99558594,-79.04037349,-74.89730122,-83.3535646,0.860167057,0.592476235
-35.11252838,-82.19803332,-85.90772967,-69.8414053,-87.5946354,-86.59970153,0.961688556,0.784541369
-37.18390048,-82.17065931,-84.8420614,-80.93581611,-70.59497041,-86.25829607,0.936958422,0.630186936
-29.45449656,-75.47693276,-86.79959599,-61.75151733,-87.69908302,-86.89723607,0.972165574,0.928887981
-43.47241676,-72.86822999,-79.48643813,-78.2572733,-80.47956426,-83.46825657,0.907140889,0.415913514
-29.12465617,-81.64134045,-83.89453175,-71.12673191,-87.4873461,-86.57237201,0.965534685,0.664061777
-33.97436951,-82.02352295,-80.93121816,-82.48441788,-70.00797049,-75.21554817,0.978108444,0.518043431
-33.31480161,-81.40804823,-83.48124431,-75.79624886,-87.36183546,-83.29051847,0.962537299,0.532810565
