value_1,value_2,value_3,value_4,value_5,value_6,x,y
-35.63257194,-82.19867575,-85.69391522,-73.1996855,-82.28949324,-86.27143582,0.87577589,0.748376825
-34.11954365,-82.19951838,-85.69941365,-70.70361613,-84.61644275,-86.29801387,0.937244645,0.816697824
-35.02150011,-82.19888022,-85.69900175,-73.49548458,-83.88263663,-86.29537429,0.955505167,0.778609443
-35.10396614,-82.19930673,-85.69985462,-70.94545587,-85.49512581,-86.29932936,0.997401853,0.861683804
-35.39657075,-82.19734911,-85.69697295,-68.71782913,-84.28517816,-86.2909257,0.926931367,0.88442612
-37.22516317,-82.1977868,-85.69753992,-68.41423302,-84.6394134,-86.29784191,0.9718713,0.959502301
-37.2115757,-82.19079815,-85.6969245,-69.00755136,-83.56586042,-86.13968225,0.915158038,0.911177023
-33.99487691,-82.19981949,-85.69963495,-67.12982832,-84.9865349,-86.29674481,0.964021029,0.920497215
-35.53389041,-82.1995719,-85.69873362,-74.06839697,-83.9906182,-86.29949272,0.986882684,0.792828287
-37.94828196,-82.19296423,-85.69763684,-72.74375959,-82.39629873,-86.27865812,0.928743392,0.839415033
-38.23331404,-82.1886129,-85.69483109,-71.71997337,-82.54268361,-86.1903776,0.918474981,0.866160077
-32.79280958,-81.93857837,-79.96766057,-66.59632339,-85.01946155,-86.11540674,0.944256035,0.810801607
-34.84170468,-82.19937302,-85.69749146,-74.06759693,-82.72973157,-86.28845465,0.910197072,0.73782478
-37.78473847,-82.18902423,-85.6784004,-67.39411964,-83.53281659,-86.26411551,0.934031318,0.986086984
-35.34280744,-81.97027247,-85.56119848,-76.86306073,-82.73278252,-83.7237335,0.96600306,0.701202895
-37.90938201,-82.19044513,-85.67057111,-70.45916705,-81.79612543,-86.14430968,0.858420282,0.858547489
-38.08857098,-81.8052534,-84.81924115,-77.17669903,-80.52487737,-81.00301079,0.93227236,0.691464829
-38.08473666,-82.18231993,-85.68893368,-73.83960395,-81.26437826,-86.27225607,0.91886301,0.813245288
-38.00851424,-82.16949357,-85.68638314,-70.89881508,-81.69415766,-86.12025256,0.860735458,0.850409154
-36.06471329,-82.19862703,-85.69922305,-69.6212156,-84.83634552,-86.2747512,0.963777181,0.894489536
-34.95061326,-82.19923085,-85.69852686,-74.08025621,-82.64512352,-86.28880372,0.908169448,0.738069982
-36.48341298,-82.19753441,-85.69923435,-69.14930044,-85.19935727,-86.28939354,0.988067844,0.929499274
-35.23552935,-82.19879236,-85.69987885,-75.55114074,-83.16835933,-86.29711452,0.995182792,0.76482469
-34.50022492,-74.46830513,-85.62673548,-69.75648298,-79.87156177,-85.09920235,0.790841052,0.725960374
-39.74252789,-81.92650359,-83.36131481,-74.86843644,-82.80263962,-80.42158166,0.96366529,0.75812127
-33.31110547,-76.5476745,-85.6892002,-76.59288822,-82.03457425,-85.96292002,0.991208608,0.687776029
